project_id,start_date,planned_end_date,actual_end_date,team_size,budget,tasks_completed,risk_level,client_satisfaction,delayed,success
57,2022-02-20,2022-07-19,2022-07-18,8,119768.73,363,High,1,0,0
58,2022-12-19,2023-03-23,2023-03-06,8,420170.25,493,Low,8,0,1
59,2020-01-24,2020-03-23,2020-04-07,7,147119.46,152,Low,4,1,0
60,2021-06-30,2021-10-25,2021-10-30,10,364780.49,357,Low,2,1,0
61,2020-08-16,2020-11-29,2020-12-10,3,195330.41,169,Low,10,1,0
62,2022-06-09,2022-08-18,2022-08-07,7,61407.83,367,Medium,9,0,1
63,2022-07-18,2022-08-17,2022-08-23,12,76187.12,50,Low,6,1,0
64,2021-06-23,2021-11-28,2022-01-03,7,347088.82,434,High,7,1,0
65,2020-12-31,2021-06-08,2021-07-08,9,246052.8,125,Medium,3,1,0
66,2020-08-05,2020-11-19,2020-12-15,14,56477.07,118,Low,4,1,0
67,2022-11-05,2023-01-24,2023-01-16,12,57722.5,481,Medium,4,0,0
68,2020-11-09,2021-03-14,2021-03-01,9,245233.24,299,Medium,5,0,0
69,2020-11-26,2021-05-13,2021-07-07,12,167402.13,299,High,1,1,0
70,2022-12-22,2023-01-21,2023-01-24,10,357783.7,385,Medium,1,1,0
71,2021-10-25,2022-03-29,2022-05-17,6,336381.62,201,Medium,3,1,0
72,2020-02-09,2020-04-07,2020-04-17,5,256213.8,476,High,3,1,0
73,2022-01-13,2022-05-01,2022-06-01,13,343168.15,93,Low,2,1,0
74,2021-05-05,2021-06-18,2021-06-10,9,328214.25,386,Medium,10,0,1
75,2021-05-08,2021-10-30,2021-12-05,5,203281.06,154,Low,10,1,0
76,2020-06-10,2020-07-31,2020-08-11,10,333024.28,469,Low,9,1,0
77,2022-09-22,2022-11-08,2022-11-14,10,240561.92,241,Medium,3,1,0
78,2022-12-26,2023-02-26,2023-02-28,9,217408.14,145,Low,5,1,0
79,2020-09-19,2021-02-17,2021-02-08,9,355930.15,266,Low,1,0,0
80,2020-12-04,2021-03-11,2021-03-22,11,273452.54,391,Low,3,1,0
81,2022-12-16,2023-05-03,2023-05-07,11,54876.94,452,Low,7,1,0
82,2021-03-09,2021-08-24,2021-10-25,6,354546.46,388,Low,5,1,0
83,2021-02-15,2021-06-04,2021-05-19,6,321098.42,428,Low,5,0,0
84,2022-03-28,2022-07-31,2022-09-03,7,405328.16,91,High,10,1,0
85,2022-06-16,2022-11-25,2022-12-05,13,449466.88,380,Low,9,1,0
86,2022-07-13,2022-09-11,2022-09-26,8,328198.13,56,Low,8,1,0
87,2021-05-22,2021-08-17,2021-08-03,12,419837.03,243,Low,5,0,0
88,2020-05-11,2020-09-04,2020-08-28,3,311587.44,391,Medium,7,0,1
89,2020-02-13,2020-08-11,2020-10-20,8,389020.18,301,Low,6,1,0
90,2021-04-16,2021-10-13,2021-11-22,5,161925.87,88,Low,2,1,0
91,2021-03-27,2021-04-27,2021-04-29,14,75336.47,366,Medium,7,1,0
92,2020-05-25,2020-07-09,2020-07-20,11,312515.94,240,Low,9,1,0
93,2021-04-13,2021-05-30,2021-06-14,8,150618.13,107,Low,5,1,0
94,2020-03-05,2020-06-27,2020-06-07,14,466089.5,278,Low,3,0,0
95,2020-05-25,2020-11-02,2021-01-02,11,285394.03,354,Medium,1,1,0
96,2021-05-02,2021-08-11,2021-08-28,9,312941.44,490,High,10,1,0
97,2022-09-21,2022-12-14,2023-01-14,14,450618.7,457,Medium,8,1,0
98,2020-09-27,2021-03-22,2021-03-04,10,341081.76,235,Low,5,0,0
99,2022-08-26,2022-11-26,2022-12-31,8,493794.84,496,Medium,1,1,0
100,2022-08-26,2023-01-07,2023-01-13,5,321251.85,302,High,3,1,0
101,2021-01-24,2021-03-19,2021-03-31,4,326036.84,59,High,2,1,0
102,2020-07-17,2020-12-04,2020-12-22,10,124175.42,338,Medium,2,1,0
103,2021-12-26,2022-05-13,2022-07-06,7,117687.6,331,Low,6,1,0
104,2022-04-21,2022-09-17,2022-10-31,3,306086.66,147,Low,1,1,0
105,2020-04-20,2020-06-14,2020-06-03,14,83911.58,246,High,6,0,0
106,2020-05-04,2020-09-14,2020-10-30,7,313317.29,214,Medium,3,1,0
107,2021-11-25,2022-01-21,2022-01-18,3,252744.86,100,Low,4,0,0
108,2021-05-24,2021-08-11,2021-08-06,4,352265.31,397,Low,7,0,1
109,2021-01-24,2021-07-10,2021-08-12,8,284138.47,308,Medium,1,1,0
110,2022-07-07,2022-09-10,2022-09-18,13,302422.09,362,Medium,7,1,0
111,2022-05-14,2022-07-29,2022-08-17,4,329139.3,124,Low,6,1,0
112,2021-07-24,2021-12-19,2022-01-13,4,491208.23,147,Medium,3,1,0
113,2021-05-26,2021-07-14,2021-07-30,8,206714.96,384,Low,7,1,0
114,2022-06-26,2022-12-13,2023-01-01,6,363938.84,187,High,10,1,0
115,2020-07-19,2020-08-30,2020-09-09,7,79806.19,83,Medium,2,1,0
116,2020-01-31,2020-03-24,2020-03-23,13,335030.38,420,Medium,7,0,1
117,2021-04-29,2021-07-10,2021-07-01,8,118356.21,449,Medium,8,0,1
118,2022-04-12,2022-09-13,2022-10-16,5,235247.55,204,Medium,2,1,0
119,2022-09-12,2022-12-05,2022-12-18,7,150732.08,54,Low,10,1,0
120,2022-04-01,2022-05-16,2022-05-11,3,89916.14,182,Low,10,0,1
121,2020-12-03,2021-04-09,2021-05-21,12,107936.78,350,Low,10,1,0
122,2020-01-05,2020-05-13,2020-06-18,10,332555.18,399,Low,1,1,0
123,2021-06-27,2021-11-20,2021-11-15,3,412790.58,404,Low,8,0,1
124,2021-08-07,2021-12-23,2022-01-04,9,328214.65,127,Low,10,1,0
125,2022-09-23,2022-12-01,2022-11-18,9,163596.62,52,High,2,0,0
126,2021-01-23,2021-05-08,2021-05-15,11,289677.77,168,Low,10,1,0
127,2021-03-21,2021-05-04,2021-05-10,8,428319.49,175,Low,1,1,0
128,2020-05-04,2020-08-22,2020-08-22,12,263286.47,116,Medium,2,0,0
129,2020-04-27,2020-06-08,2020-06-01,4,291697.94,160,Medium,1,0,0
130,2022-09-03,2023-02-08,2023-03-01,7,220447.68,55,High,2,1,0
131,2022-12-23,2023-03-03,2023-02-27,8,274211.46,278,High,5,0,0
132,2020-04-26,2020-10-03,2020-09-10,9,118786.61,161,Low,8,0,1
133,2020-06-13,2020-08-29,2020-09-24,5,86105.19,80,Low,4,1,0
134,2020-05-20,2020-07-06,2020-07-24,6,453474.62,269,High,6,1,0
135,2021-04-26,2021-09-06,2021-10-27,8,270836.95,484,Medium,2,1,0
136,2020-09-02,2021-02-24,2021-03-19,5,307225.71,222,Medium,6,1,0
137,2021-05-19,2021-11-13,2022-01-19,6,369928.62,274,Medium,1,1,0
138,2020-03-22,2020-05-11,2020-05-19,7,179883.75,431,Low,4,1,0
139,2022-05-08,2022-11-03,2022-11-01,8,317247.39,227,Low,5,0,0
140,2022-12-06,2023-03-26,2023-03-08,10,495482.1,179,Low,5,0,0
141,2021-06-18,2021-09-08,2021-08-22,10,102513.23,87,Low,1,0,0
142,2021-10-05,2022-01-04,2022-02-01,4,385688.54,383,High,9,1,0
143,2021-06-27,2021-11-05,2021-10-25,3,220652.86,345,Medium,8,0,1
144,2020-09-25,2021-01-09,2021-02-09,14,387725.87,335,Medium,5,1,0
145,2022-07-25,2022-11-12,2022-12-13,12,349338.75,111,Low,10,1,0
146,2020-05-28,2020-06-29,2020-06-30,9,417469.75,153,Low,3,1,0
147,2022-07-27,2023-01-17,2023-02-16,3,292901.48,202,Low,7,1,0
148,2020-07-23,2020-09-09,2020-09-14,10,79978.6,484,Medium,6,1,0
149,2021-03-12,2021-08-18,2021-10-14,10,332468.62,91,Low,1,1,0
150,2021-06-27,2021-08-29,2021-09-05,6,452251.66,206,Low,1,1,0
151,2021-12-15,2022-01-31,2022-02-10,3,400357.37,303,Low,2,1,0
152,2021-05-15,2021-09-16,2021-10-17,3,444544.54,167,Medium,4,1,0
153,2021-08-06,2021-10-15,2021-10-20,10,321781.04,310,Low,4,1,0
154,2022-06-16,2022-12-02,2023-01-10,5,374016.44,292,Medium,10,1,0
155,2021-09-11,2022-02-23,2022-02-14,13,205563.2,303,High,6,0,0
156,2020-01-17,2020-07-06,2020-06-25,12,240618.59,351,Medium,10,0,1
157,2021-09-05,2021-10-31,2021-11-08,11,277649.91,160,Medium,4,1,0
158,2020-10-02,2021-01-07,2021-02-10,7,405538.09,377,Medium,1,1,0
159,2020-08-24,2020-10-20,2020-10-28,8,323021.77,100,Medium,8,1,0
160,2020-11-14,2021-02-21,2021-03-23,3,459808.79,351,Low,10,1,0
161,2021-07-31,2021-10-22,2021-11-16,11,106098.21,50,High,7,1,0
162,2021-12-03,2022-02-23,2022-02-17,11,323552.48,358,Low,4,0,0
163,2021-06-24,2021-11-30,2022-01-12,5,321674.69,112,Low,10,1,0
164,2022-09-27,2022-12-30,2023-02-01,4,205855.7,467,High,3,1,0
165,2020-04-14,2020-06-06,2020-06-03,6,309934.38,247,Low,1,0,0
166,2022-05-17,2022-08-25,2022-08-26,8,311264.76,203,Low,5,1,0
167,2020-03-31,2020-04-30,2020-05-03,11,488993.59,226,Medium,6,1,0
168,2021-11-14,2022-01-16,2022-01-06,3,498593.41,376,Medium,7,0,1
169,2021-06-20,2021-08-30,2021-09-02,3,409901.91,478,Low,8,1,0
170,2022-06-23,2022-12-11,2023-01-06,5,182320.11,224,Medium,6,1,0
171,2022-05-25,2022-11-14,2022-11-25,8,230343.38,484,Low,1,1,0
172,2020-01-20,2020-03-18,2020-03-18,5,83976.51,337,Low,3,0,0
173,2020-06-03,2020-08-10,2020-08-22,9,233930.38,104,Low,2,1,0
174,2020-03-14,2020-07-16,2020-08-24,11,233593.02,296,Low,7,1,0
175,2020-10-30,2021-03-19,2021-04-16,8,58869.74,298,Medium,3,1,0
176,2020-09-18,2020-10-28,2020-11-10,10,300524.71,467,Medium,8,1,0
177,2021-09-23,2022-01-24,2022-02-21,13,435063.41,449,Low,5,1,0
178,2020-03-22,2020-07-21,2020-07-07,9,232876.54,481,Low,10,0,1
179,2021-03-06,2021-06-07,2021-05-24,5,143548.81,161,Low,4,0,0
180,2020-07-29,2020-11-26,2020-12-18,3,366775.76,352,Medium,10,1,0
181,2022-04-12,2022-06-20,2022-07-10,9,213376.65,445,Medium,5,1,0
182,2021-04-29,2021-07-09,2021-07-12,4,298421.23,102,Low,4,1,0
183,2020-12-28,2021-05-12,2021-07-02,3,400891.45,251,Medium,7,1,0
184,2020-02-20,2020-05-05,2020-05-25,5,241346.08,258,Low,8,1,0
185,2021-11-11,2022-03-26,2022-04-24,11,231147.52,295,Medium,4,1,0
186,2021-05-23,2021-08-29,2021-08-17,4,455257.54,264,Medium,6,0,0
187,2020-11-22,2021-01-18,2021-02-06,6,102987.99,90,Low,1,1,0
188,2022-02-22,2022-04-02,2022-04-03,14,273859.2,136,Low,6,1,0
189,2022-08-21,2022-11-15,2022-11-04,8,455008.39,268,Medium,9,0,1
190,2021-02-12,2021-07-09,2021-07-23,3,307982.47,459,Low,10,1,0
191,2021-12-17,2022-04-04,2022-04-09,8,209242.12,412,Low,5,1,0
192,2021-04-11,2021-07-07,2021-07-21,7,160407.1,316,Low,4,1,0
193,2020-02-18,2020-05-07,2020-05-25,5,183704.77,359,Low,8,1,0
194,2022-03-27,2022-07-19,2022-08-29,3,379657.44,299,Low,4,1,0
195,2021-07-24,2021-09-09,2021-09-04,3,428688.35,495,High,2,0,0
196,2021-07-25,2021-11-21,2021-12-11,11,263406.79,250,Low,1,1,0
197,2022-11-09,2023-03-21,2023-04-02,12,359781.08,74,Low,3,1,0
198,2021-11-09,2021-12-16,2021-12-10,5,51052.73,151,Medium,3,0,0
199,2020-08-24,2020-11-28,2020-11-26,3,413343.61,494,Medium,9,0,1
200,2020-12-31,2021-06-27,2021-07-09,10,133309.82,388,Medium,5,1,0
201,2021-06-27,2021-08-05,2021-08-14,8,375846.5,249,Low,9,1,0
202,2020-08-10,2020-12-29,2021-01-24,11,361928.85,414,Medium,10,1,0
203,2021-12-08,2022-03-28,2022-04-13,12,499709.07,135,High,5,1,0
204,2022-06-12,2022-11-19,2022-12-27,10,136669.56,364,High,2,1,0
205,2020-08-24,2020-12-30,2021-01-30,5,74697.18,451,Medium,7,1,0
206,2021-01-24,2021-04-29,2021-04-12,5,318321.45,157,Low,2,0,0
207,2020-03-31,2020-08-19,2020-10-04,12,288619.31,232,Low,7,1,0
208,2020-01-04,2020-06-15,2020-06-13,8,292771.08,458,Medium,1,0,0
209,2021-02-07,2021-06-10,2021-07-20,4,327138.43,360,Low,2,1,0
210,2022-06-02,2022-07-19,2022-07-10,4,443615.75,465,High,7,0,1
211,2021-11-07,2022-02-25,2022-02-03,3,73707.73,367,Low,9,0,1
212,2020-09-12,2020-12-27,2021-01-11,11,172259.14,315,Low,7,1,0
213,2022-11-04,2023-02-21,2023-03-05,3,379522.31,52,Low,8,1,0
214,2022-04-16,2022-08-07,2022-08-03,7,183338.65,202,Low,5,0,0
215,2022-04-04,2022-07-18,2022-08-28,3,242497.91,426,Medium,10,1,0
216,2020-09-17,2020-12-05,2020-12-27,14,166542.19,247,High,8,1,0
217,2022-05-11,2022-09-15,2022-09-25,11,326035.13,248,High,8,1,0
218,2020-12-22,2021-06-15,2021-08-17,7,342340.99,292,Medium,10,1,0
219,2021-09-08,2022-01-19,2021-12-27,11,222840.78,290,High,8,0,1
220,2020-01-01,2020-04-17,2020-04-18,9,76029.2,226,Medium,4,1,0
221,2021-08-10,2021-11-01,2021-12-03,12,128252.86,468,Medium,1,1,0
222,2022-05-30,2022-11-24,2022-11-04,8,417124.91,318,Low,9,0,1
223,2021-10-21,2022-03-19,2022-04-11,4,311038.79,316,High,3,1,0
224,2022-06-23,2022-11-13,2022-11-07,5,264504.57,458,High,10,0,1
225,2021-03-13,2021-08-20,2021-10-04,7,344858.89,444,Low,8,1,0
226,2022-08-27,2022-11-08,2022-11-04,13,52286.96,438,Low,2,0,0
227,2020-06-22,2020-10-02,2020-09-16,14,149082.44,130,Low,3,0,0
228,2022-11-21,2023-03-16,2023-04-18,4,206514.14,89,Medium,1,1,0
229,2020-07-10,2020-10-08,2020-11-06,10,408841.71,141,High,9,1,0
230,2021-09-27,2021-12-23,2021-12-23,7,157410.51,219,Low,6,0,0
231,2021-02-11,2021-04-19,2021-04-13,12,446736.71,298,Low,7,0,1
232,2020-02-20,2020-04-01,2020-03-23,7,418976.11,207,High,2,0,0
233,2021-05-16,2021-10-14,2021-11-26,14,424460.38,344,Low,1,1,0
234,2020-05-29,2020-10-22,2020-11-10,4,102129.74,237,Low,3,1,0
235,2022-04-28,2022-10-22,2022-09-30,9,177504.33,123,Low,2,0,0
236,2021-02-02,2021-06-10,2021-06-10,7,334679.85,327,High,4,0,0
237,2022-10-09,2023-02-18,2023-01-27,3,185433.61,61,Low,10,0,0
238,2021-05-14,2021-07-20,2021-07-25,10,76064.21,259,High,4,1,0
239,2020-01-12,2020-03-09,2020-03-19,14,317478.14,56,Low,1,1,0
240,2022-05-20,2022-08-14,2022-08-13,5,269889.44,107,Low,2,0,0
241,2020-12-26,2021-06-06,2021-05-31,3,498706.03,148,Low,7,0,1
242,2022-08-09,2022-09-20,2022-09-24,13,421664.34,421,Medium,4,1,0
243,2021-05-25,2021-07-25,2021-08-05,3,172966.79,431,Low,5,1,0
244,2022-07-23,2022-09-25,2022-10-17,6,435812.04,311,Medium,5,1,0
245,2022-08-09,2023-01-21,2023-03-26,14,234200.3,471,Low,3,1,0
246,2021-10-11,2022-03-03,2022-02-05,14,343250.07,323,High,8,0,1
247,2022-10-30,2023-03-18,2023-03-03,7,141665.56,57,Medium,2,0,0
248,2022-07-02,2022-09-10,2022-09-27,14,331799.14,230,High,10,1,0
249,2022-08-30,2023-01-22,2023-02-15,11,408441.78,271,Low,1,1,0
250,2021-06-14,2021-09-15,2021-09-30,11,161392.98,215,Low,6,1,0
251,2021-07-21,2021-12-31,2022-01-24,10,171047.03,121,Low,1,1,0
252,2022-09-19,2022-12-19,2022-12-01,4,82601.1,415,High,6,0,0
253,2021-07-16,2021-12-05,2021-12-01,3,362741.85,151,High,6,0,0
254,2020-06-07,2020-09-18,2020-10-13,14,115664.93,426,Medium,6,1,0
255,2021-04-25,2021-08-02,2021-08-18,12,366109.24,473,Low,1,1,0
256,2021-11-18,2022-03-09,2022-03-21,3,89539.92,126,Low,6,1,0
257,2020-06-14,2020-08-18,2020-08-17,12,489859.87,223,Medium,2,0,0
258,2020-11-04,2021-02-01,2021-01-16,10,351673.46,366,Medium,6,0,0
259,2022-02-23,2022-05-03,2022-05-13,11,327472.06,419,High,8,1,0
260,2021-03-14,2021-04-29,2021-05-09,13,410777.64,432,Low,4,1,0
261,2022-04-29,2022-09-10,2022-09-27,8,318864.14,459,Low,9,1,0
262,2021-11-08,2022-04-25,2022-04-07,4,247373.25,61,Low,9,0,0
263,2022-08-12,2022-12-26,2023-02-07,9,148646.29,287,Low,8,1,0
264,2020-05-07,2020-07-28,2020-08-23,5,245144.9,349,Medium,2,1,0
265,2022-05-10,2022-09-16,2022-10-10,10,199541.58,410,Low,10,1,0
266,2020-02-10,2020-08-05,2020-08-12,8,149252.51,496,Low,7,1,0
267,2022-02-18,2022-07-20,2022-07-31,12,440722.63,494,Medium,5,1,0
268,2020-01-13,2020-05-12,2020-05-12,6,216967.44,493,Low,1,0,0
269,2021-09-03,2022-01-10,2022-01-23,12,314626.27,166,Low,4,1,0
270,2022-05-08,2022-10-22,2022-12-15,8,455315.84,344,Low,3,1,0
271,2021-03-27,2021-08-28,2021-08-23,5,211617.96,286,Low,5,0,0
272,2021-03-25,2021-07-02,2021-07-25,10,109205.46,149,High,7,1,0
273,2022-06-11,2022-11-12,2022-12-09,4,217781.89,424,Low,6,1,0
274,2020-02-29,2020-07-07,2020-07-19,14,161253.98,430,Low,8,1,0
275,2021-11-19,2022-04-01,2022-04-20,9,348179.58,375,Medium,9,1,0
276,2020-12-04,2021-05-02,2021-06-27,7,166160.04,310,Low,8,1,0
277,2020-09-18,2021-03-03,2021-03-29,9,228496.9,352,Low,10,1,0
278,2020-02-25,2020-07-04,2020-06-13,12,126391.06,142,Low,9,0,1
279,2020-02-25,2020-04-16,2020-04-18,13,161921.42,50,Low,6,1,0
280,2022-05-27,2022-07-30,2022-07-23,7,66502.14,224,Medium,5,0,0
281,2022-08-03,2022-10-18,2022-11-07,10,367423.52,205,High,6,1,0
282,2020-04-12,2020-07-17,2020-07-09,4,100363.83,383,Low,5,0,0
283,2022-02-15,2022-06-08,2022-07-18,9,67704.59,84,Low,5,1,0
284,2021-03-09,2021-08-02,2021-07-11,5,96489.03,255,Medium,4,0,0
285,2021-10-31,2022-02-24,2022-04-10,13,484303.41,175,High,2,1,0
286,2022-02-15,2022-05-27,2022-07-04,10,311050.5,476,Low,6,1,0
287,2022-05-13,2022-08-15,2022-08-04,6,63488.12,385,High,7,0,1
288,2020-06-16,2020-11-13,2020-10-28,9,134757.09,313,Low,6,0,0
289,2020-02-09,2020-07-26,2020-09-17,4,129717.41,242,Medium,10,1,0
290,2020-04-16,2020-08-13,2020-08-15,4,57882.2,194,Medium,8,1,0
291,2021-04-04,2021-05-21,2021-06-02,11,100899.42,351,High,1,1,0
292,2020-03-23,2020-04-29,2020-04-26,7,346498.46,353,Medium,10,0,1
293,2021-05-21,2021-08-10,2021-08-10,8,121679.35,112,High,9,0,1
294,2020-02-11,2020-04-20,2020-05-17,7,388592.49,126,Low,4,1,0
295,2021-05-03,2021-07-04,2021-07-15,6,394335.89,151,Low,2,1,0
296,2022-08-27,2022-10-25,2022-11-09,5,409016.14,414,Medium,8,1,0
297,2021-03-22,2021-08-18,2021-08-14,7,342083.6,192,Medium,10,0,1
298,2021-06-08,2021-10-10,2021-10-14,14,362960.24,142,Low,1,1,0
299,2020-12-09,2021-02-06,2021-02-13,8,249988.75,316,Medium,10,1,0
300,2020-12-01,2021-03-20,2021-04-16,7,275200.39,331,High,2,1,0
